OBJECTID,NAME,PMA,PARKSBND_AREA,SHAPE_Length,SHAPE_Area
84,CHRISTIE PARK,595,9973.348762,399.466489946197,9973.3088689103
85,CITY HALL PARK,306,41161.784431,850.396060776243,41161.6197840465
86,CLEVELAND PLAYFIELD,404,112311.408358,1448.08654231178,112310.959111146
87,COE PLAY PARK,3985,7012.701527,341.9667643819,7012.67347637469
88,COLLEGE STREET PARK,3922,18209.345946,629.121834851411,18209.2731094007
89,COLLEGE STREET RAVINE,260,116624.111356,4385.37750045674,116623.644861039
90,COLMAN PARK,405,585621.460486,9204.6833084288,585619.118003589
91,COLMAN PLAYGROUND,406,121974.96758,1441.95209925539,121974.479679758
92,COLUMBIA PARK,4034,113695.5683,1745.3372836353,113695.113517426
93,COMMODORE PARK,308,210117.80818,2892.66361465931,210116.96770842
94,CONDON WAY CENTERSTRIP,4030,23988.474082,2855.07872363216,23988.3781307551
95,CORLISS PLACE,4017,6585.786827,392.808678949853,6585.76048426893
96,CORMORANT COVE,295,85672.473152,1642.70287548795,85672.1304619969
97,COTTAGE GROVE PARK,4462,47775.668994,1036.03763110042,47775.4778915094
98,COUNTERBALANCE PARK,4438,12018.517086,440.318433529256,12018.4690112144
99,COWEN PARK,483,367550.698959,2452.09424714352,367549.228758339
100,CRESCENT PLACE,4018,846.248358,103.138399513489,846.244972845275
101,CROWN HILL GLEN,4070,15706.569184,519.239527272943,15706.5063579138
102,CROWN HILL PARK,4469,74517.436972,1210.22547385018,74517.1389023426
103,DAEJEON PARK,4400,150528.15348,2750.83979667369,150527.551366543
104,DAHL (WALDO J.) PLAYFIELD,499,630359.036816,3248.11148346527,630356.515383929
105,DAKOTA PLACE PARK,575,20438.687524,585.47919735554,20438.6057691017
106,DAVID RODGERS PARK,331,414816.85145,2575.97711216463,414815.192181582
107,DEARBORN PARK,408,312713.683436,3949.09052153343,312712.43258373
108,DELRIDGE AND MYRTLE,4423,130796.483551,1582.64290264419,130795.960367171
109,DELRIDGE PLAYFIELD,450,610313.920117,3586.78403388115,610311.478863978
110,DELRIDGE WETLAND,623,20015.674527,600.165499191519,20015.5944636883
111,DEMONSTRATION GARDEN,3883,23526.583321,622.474381412192,23526.4892149912
112,DENNY BLAINE LAKE PARK,3980,8159.803637,326.180525735669,8159.77099732489
113,DENNY BLAINE PARK,3982,24445.859522,977.471881779492,24445.7617378874
114,DENNY PARK,309,201514.352652,1838.70451393165,201513.546595433
115,DISCOVERY PARK,0,852536.578301,3818.73694712463,852533.168156731
116,DISCOVERY PARK,310,22549978.403008,60728.9824455064,22549888.2031804
117,DISCOVERY PARK,2952,26776.073634,1053.10318149412,26775.9665284781
118,DISCOVERY PARK,4470,393363.129201,18384.6932484013,393361.555742525
119,DISCOVERY PARK,16548,87273.742285,1420.46079088945,87273.3931916176
120,DISCOVERY PARK BOULEVARD,4470,289907.920446,15857.6816627984,289906.760814508
121,DISCOVERY PARK TIDELANDS,2952,13341754.569291,107027.140256302,13341701.2023336
122,DON ARMENI PARK,3917,209010.313459,2495.71784946569,209009.477417255
123,DONNIE CHIN INTERNATIONAL CHILDREN'S PARK,364,9987.897945,443.981270741578,9987.8579931587
124,DR. BLANCHE LAVIZZO PARK,395,89977.788562,2186.37422384158,89977.4286534688
125,DR. JOSE RIZAL PARK,433,416913.09509,2652.36301787555,416911.42743898
126,DUWAMISH HEAD GREENBELT,284,901976.710719,14746.3352231946,901973.10281613
127,DUWAMISH HEAD GREENBELT,451,1150735.659505,23758.9696212375,1150731.05656575
128,DUWAMISH HEAD GREENBELT,454,827544.945853,8734.0457955742,827541.635677065
129,DUWAMISH WATERWAY PARK,705,64710.119692,1352.89224517082,64709.8608507042
130,E.C. HUGHES PLAYGROUND,458,276560.46612,2124.29718517589,276559.359880116
131,EAST DUWAMISH GREENBELT,283,198923.191123,5579.27029955116,198922.395429695
132,EAST DUWAMISH GREENBELT,430,567162.796314,13913.5552416289,567160.527663075
133,EAST DUWAMISH GREENBELT,442,1882234.665996,16825.5429955517,1882227.13707143
134,EAST DUWAMISH GREENBELT,443,820557.834124,17500.8202643204,820554.551891396
135,EAST DUWAMISH GREENBELT,3925,262564.700611,5519.56260103562,262563.650351622
136,EAST DUWAMISH GREENBELT,4046,167559.353495,4637.06970469254,167558.683255719
137,EAST MONTLAKE PARK,374,332149.278077,2582.95448007013,332147.949482517
138,EAST PORTAL VIEWPOINT,4241,315731.798306,2757.63028824266,315730.535380478
139,EAST QUEEN ANNE PLAYGROUND,329,60038.357492,980.336396747347,60038.1173388444
140,EASTMONT PLACE,4012,1485.901959,217.815043971192,1485.89601524794
141,ELLA BAILEY PARK,318,106301.357333,1310.50089984376,106300.93212944
142,EMMA SCHMITZ MEMORIAL OVERLOOK,3920,758109.184544,4317.18136348351,758106.152113077
143,ENDOLYNE PARK,1653,5504.538446,539.559789098676,5504.51642786296
144,ERCOLINI PARK,4454,23499.064591,634.986551703407,23498.9705944312
145,FAIRMOUNT PARK,4410,143964.347201,2152.33880738366,143963.771343621
146,FAIRMOUNT PLAYGROUND,452,229098.317547,1972.94808178369,229097.401155728
147,FAIRVIEW PARK,2975,44896.587301,1530.30677101814,44896.4077150638
148,FAIRVIEW WALKWAY,4155,21729.405651,956.005736128787,21729.3187327996
149,FAUNTLEROY CREEK RAVINE,3149,8367.044213,406.899582591855,8367.01074489577
150,FAUNTLEROY PARK,453,1407974.50671,12651.6631044663,1407968.8748197
151,FAUNTLEROY PLACE,3921,2973.263269,264.104600248491,2973.25137565472
152,FIREHOUSE MINI PARK,351,14507.712417,515.830662850221,14507.6543866547
153,FIRST HILL PARK,3910,9450.978449,400.010912417664,9450.94064496703
154,FLETCHER PLACE,3948,2715.858697,210.294906881079,2715.84783315806
155,FLICKER HAVEN NATURAL AREA ON THORNTON CREEK,4618,359123.686376,2522.53438815055,359122.249883153
156,FLO WARE PARK,363,21521.651769,599.208744125101,21521.5656829251
157,FOSTER ISLAND (WASH. PARK),393,1360732.246546,7465.99378101524,1360726.80362258
158,FRED HUTCHINSON PLAYGROUND,439,190877.596056,1892.02587801564,190876.832543867
159,FREMONT CANAL PARK,4011,29875.484846,4013.38960557216,29875.3653440311
160,FREMONT PEAK PARK,4424,24453.072258,664.550100376799,24452.974445901
161,FRINK PARK,392,734226.483029,6198.7645514235,734223.546127982
